,State Name,county Name,State Code,County Code,DATE,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
0,Maryland,Anne Arundel,24,3,2024-01-01,8,Good,PM10,24-003-1003,1
1,Maryland,Anne Arundel,24,3,2024-01-07,3,Good,PM10,24-003-1003,1
2,Maryland,Anne Arundel,24,3,2024-01-13,2,Good,PM10,24-003-1003,1
3,Maryland,Anne Arundel,24,3,2024-01-19,14,Good,PM10,24-003-1003,1
4,Maryland,Anne Arundel,24,3,2024-01-25,21,Good,PM10,24-003-1003,1
5,Maryland,Anne Arundel,24,3,2024-01-31,7,Good,PM10,24-003-1003,1
6,Maryland,Anne Arundel,24,3,2024-02-06,9,Good,PM10,24-003-1003,1
7,Maryland,Anne Arundel,24,3,2024-02-12,13,Good,PM10,24-003-1003,1
8,Maryland,Anne Arundel,24,3,2024-02-18,5,Good,PM10,24-003-1003,1
9,Maryland,Anne Arundel,24,3,2024-02-24,6,Good,PM10,24-003-1003,1
10,Maryland,Anne Arundel,24,3,2024-03-01,7,Good,PM10,24-003-1003,1
11,Maryland,Anne Arundel,24,3,2024-03-07,3,Good,PM10,24-003-1003,1
12,Maryland,Anne Arundel,24,3,2024-03-13,13,Good,PM10,24-003-1003,1
13,Maryland,Anne Arundel,24,3,2024-03-19,5,Good,PM10,24-003-1003,1
14,Maryland,Anne Arundel,24,3,2024-03-25,7,Good,PM10,24-003-1003,1
15,Maryland,Anne Arundel,24,3,2024-03-31,7,Good,PM10,24-003-1003,1
16,Maryland,Anne Arundel,24,3,2024-04-01,35,Good,Ozone,24-003-1004,1
17,Maryland,Anne Arundel,24,3,2024-04-02,36,Good,Ozone,24-003-1004,1
18,Maryland,Anne Arundel,24,3,2024-04-03,36,Good,Ozone,24-003-1004,1
19,Maryland,Anne Arundel,24,3,2024-04-04,31,Good,Ozone,24-003-1004,1
20,Maryland,Anne Arundel,24,3,2024-04-05,34,Good,Ozone,24-003-1004,1
21,Maryland,Anne Arundel,24,3,2024-04-06,36,Good,Ozone,24-003-1004,1
22,Maryland,Anne Arundel,24,3,2024-04-07,41,Good,Ozone,24-003-1004,1
23,Maryland,Anne Arundel,24,3,2024-04-08,40,Good,Ozone,24-003-1004,1
24,Maryland,Anne Arundel,24,3,2024-04-09,48,Good,Ozone,24-003-1004,1
25,Maryland,Anne Arundel,24,3,2024-04-10,45,Good,Ozone,24-003-1004,1
26,Maryland,Anne Arundel,24,3,2024-04-11,35,Good,Ozone,24-003-1004,1
27,Maryland,Anne Arundel,24,3,2024-04-12,42,Good,Ozone,24-003-1004,1
28,Maryland,Anne Arundel,24,3,2024-04-13,44,Good,Ozone,24-003-1004,1
29,Maryland,Anne Arundel,24,3,2024-04-14,47,Good,Ozone,24-003-1004,1
30,Maryland,Anne Arundel,24,3,2024-04-16,46,Good,Ozone,24-003-1004,1
31,Maryland,Anne Arundel,24,3,2024-04-17,38,Good,Ozone,24-003-1004,1
32,Maryland,Anne Arundel,24,3,2024-04-18,32,Good,Ozone,24-003-1004,1
33,Maryland,Anne Arundel,24,3,2024-04-19,30,Good,Ozone,24-003-1004,1
34,Maryland,Anne Arundel,24,3,2024-04-20,46,Good,Ozone,24-003-1004,1
35,Maryland,Anne Arundel,24,3,2024-04-21,34,Good,Ozone,24-003-1004,1
36,Maryland,Anne Arundel,24,3,2024-04-22,44,Good,Ozone,24-003-1004,1
37,Maryland,Anne Arundel,24,3,2024-04-23,46,Good,Ozone,24-003-1004,1
38,Maryland,Anne Arundel,24,3,2024-04-24,45,Good,Ozone,24-003-1004,1
39,Maryland,Anne Arundel,24,3,2024-04-25,33,Good,Ozone,24-003-1004,1
40,Maryland,Anne Arundel,24,3,2024-04-26,35,Good,Ozone,24-003-1004,1
41,Maryland,Anne Arundel,24,3,2024-04-27,31,Good,Ozone,24-003-1004,1
42,Maryland,Anne Arundel,24,3,2024-04-29,61,Moderate,Ozone,24-003-1004,1
43,Maryland,Anne Arundel,24,3,2024-04-30,58,Moderate,Ozone,24-003-1004,1
44,Maryland,Anne Arundel,24,3,2024-05-01,50,Good,Ozone,24-003-1004,1
45,Maryland,Anne Arundel,24,3,2024-05-02,67,Moderate,Ozone,24-003-1004,1
46,Maryland,Anne Arundel,24,3,2024-05-03,36,Good,Ozone,24-003-1004,1
47,Maryland,Anne Arundel,24,3,2024-05-04,24,Good,Ozone,24-003-1004,1
48,Maryland,Anne Arundel,24,3,2024-05-05,22,Good,Ozone,24-003-1004,1
49,Maryland,Anne Arundel,24,3,2024-05-06,18,Good,Ozone,24-003-1004,1
50,Maryland,Anne Arundel,24,3,2024-05-07,33,Good,Ozone,24-003-1004,1
51,Maryland,Anne Arundel,24,3,2024-05-08,42,Good,Ozone,24-003-1004,1
52,Maryland,Anne Arundel,24,3,2024-05-09,41,Good,Ozone,24-003-1004,1
53,Maryland,Anne Arundel,24,3,2024-05-10,34,Good,Ozone,24-003-1004,1
54,Maryland,Anne Arundel,24,3,2024-05-11,36,Good,Ozone,24-003-1004,1
55,Maryland,Anne Arundel,24,3,2024-05-12,30,Good,Ozone,24-003-1004,1
56,Maryland,Anne Arundel,24,3,2024-05-13,43,Good,Ozone,24-003-1004,1
57,Maryland,Anne Arundel,24,3,2024-05-14,30,Good,Ozone,24-003-1004,1
58,Maryland,Anne Arundel,24,3,2024-05-15,32,Good,Ozone,24-003-1004,1
59,Maryland,Anne Arundel,24,3,2024-05-16,38,Good,Ozone,24-003-1004,1
60,Maryland,Anne Arundel,24,3,2024-05-17,36,Good,Ozone,24-003-1004,1
61,Maryland,Anne Arundel,24,3,2024-05-18,31,Good,Ozone,24-003-1004,1
62,Maryland,Anne Arundel,24,3,2024-05-19,33,Good,Ozone,24-003-1004,1
63,Maryland,Anne Arundel,24,3,2024-05-21,42,Good,Ozone,24-003-1004,1
64,Maryland,Anne Arundel,24,3,2024-05-22,44,Good,Ozone,24-003-1004,1
65,Maryland,Anne Arundel,24,3,2024-05-23,47,Good,Ozone,24-003-1004,1
66,Maryland,Anne Arundel,24,3,2024-05-24,93,Moderate,Ozone,24-003-1004,1
67,Maryland,Anne Arundel,24,3,2024-05-25,84,Moderate,Ozone,24-003-1004,1
68,Maryland,Anne Arundel,24,3,2024-05-26,64,Moderate,Ozone,24-003-1004,1
69,Maryland,Anne Arundel,24,3,2024-05-27,31,Good,Ozone,24-003-1004,1
70,Maryland,Anne Arundel,24,3,2024-05-28,47,Good,Ozone,24-003-1004,1
71,Maryland,Anne Arundel,24,3,2024-05-29,42,Good,Ozone,24-003-1004,1
72,Maryland,Anne Arundel,24,3,2024-05-30,44,Good,Ozone,24-003-1004,1
73,Maryland,Anne Arundel,24,3,2024-05-31,45,Good,Ozone,24-003-1004,1
74,Maryland,Anne Arundel,24,3,2024-06-01,61,Moderate,Ozone,24-003-1004,1
75,Maryland,Anne Arundel,24,3,2024-06-02,50,Good,Ozone,24-003-1004,1
76,Maryland,Anne Arundel,24,3,2024-06-03,44,Good,Ozone,24-003-1004,1
77,Maryland,Anne Arundel,24,3,2024-06-04,64,Moderate,Ozone,24-003-1004,1
78,Maryland,Anne Arundel,24,3,2024-06-05,33,Good,Ozone,24-003-1004,1
79,Maryland,Anne Arundel,24,3,2024-06-06,36,Good,Ozone,24-003-1004,1
80,Maryland,Anne Arundel,24,3,2024-06-07,49,Good,Ozone,24-003-1004,1
81,Maryland,Anne Arundel,24,3,2024-06-08,45,Good,Ozone,24-003-1004,1
82,Maryland,Anne Arundel,24,3,2024-06-09,44,Good,Ozone,24-003-1004,1
83,Maryland,Anne Arundel,24,3,2024-06-10,44,Good,Ozone,24-003-1004,1
84,Maryland,Anne Arundel,24,3,2024-06-11,35,Good,Ozone,24-003-1004,1
85,Maryland,Anne Arundel,24,3,2024-06-12,48,Good,Ozone,24-003-1004,1
86,Maryland,Anne Arundel,24,3,2024-06-13,49,Good,Ozone,24-003-1004,1
87,Maryland,Anne Arundel,24,3,2024-06-14,80,Moderate,Ozone,24-003-1004,1
88,Maryland,Anne Arundel,24,3,2024-06-15,46,Good,Ozone,24-003-1004,1
89,Maryland,Anne Arundel,24,3,2024-06-16,49,Good,Ozone,24-003-1004,1
90,Maryland,Anne Arundel,24,3,2024-06-17,47,Good,Ozone,24-003-1004,1
91,Maryland,Anne Arundel,24,3,2024-06-18,47,Good,Ozone,24-003-1004,1
92,Maryland,Anne Arundel,24,3,2024-06-19,46,Good,Ozone,24-003-1004,1
93,Maryland,Anne Arundel,24,3,2024-06-20,46,Good,Ozone,24-003-1004,1
94,Maryland,Anne Arundel,24,3,2024-06-21,87,Moderate,Ozone,24-003-1004,1
95,Maryland,Anne Arundel,24,3,2024-06-23,44,Good,Ozone,24-003-1004,1
96,Maryland,Anne Arundel,24,3,2024-06-24,46,Good,Ozone,24-003-1004,1
97,Maryland,Anne Arundel,24,3,2024-06-25,61,Moderate,Ozone,24-003-1004,1
98,Maryland,Anne Arundel,24,3,2024-06-26,71,Moderate,Ozone,24-003-1004,1
99,Maryland,Anne Arundel,24,3,2024-06-27,67,Moderate,Ozone,24-003-1004,1
100,Maryland,Anne Arundel,24,3,2024-06-28,45,Good,Ozone,24-003-1004,1
101,Maryland,Anne Arundel,24,3,2024-06-29,42,Good,Ozone,24-003-1004,1
102,Maryland,Anne Arundel,24,3,2024-06-30,44,Good,Ozone,24-003-1004,1
103,Maryland,Anne Arundel,24,3,2024-07-01,32,Good,Ozone,24-003-1004,1
104,Maryland,Anne Arundel,24,3,2024-07-02,44,Good,Ozone,24-003-1004,1
105,Maryland,Anne Arundel,24,3,2024-07-03,44,Good,Ozone,24-003-1004,1
106,Maryland,Anne Arundel,24,3,2024-07-04,67,Moderate,Ozone,24-003-1004,1
107,Maryland,Anne Arundel,24,3,2024-07-05,49,Good,Ozone,24-003-1004,1
108,Maryland,Anne Arundel,24,3,2024-07-07,74,Moderate,Ozone,24-003-1004,1
109,Maryland,Anne Arundel,24,3,2024-07-08,97,Moderate,Ozone,24-003-1004,1
110,Maryland,Anne Arundel,24,3,2024-07-09,47,Good,Ozone,24-003-1004,1
111,Maryland,Anne Arundel,24,3,2024-07-10,33,Good,Ozone,24-003-1004,1
112,Maryland,Anne Arundel,24,3,2024-07-11,58,Moderate,Ozone,24-003-1004,1
113,Maryland,Anne Arundel,24,3,2024-07-12,45,Good,Ozone,24-003-1004,1
114,Maryland,Anne Arundel,24,3,2024-07-13,71,Moderate,Ozone,24-003-1004,1
115,Maryland,Anne Arundel,24,3,2024-07-14,67,Moderate,Ozone,24-003-1004,1
116,Maryland,Anne Arundel,24,3,2024-07-15,84,Moderate,Ozone,24-003-1004,1
117,Maryland,Anne Arundel,24,3,2024-07-16,87,Moderate,Ozone,24-003-1004,1
118,Maryland,Anne Arundel,24,3,2024-07-18,49,Good,Ozone,24-003-1004,1
119,Maryland,Anne Arundel,24,3,2024-07-19,61,Moderate,Ozone,24-003-1004,1
120,Maryland,Anne Arundel,24,3,2024-07-20,42,Good,Ozone,24-003-1004,1
121,Maryland,Anne Arundel,24,3,2024-07-21,77,Moderate,Ozone,24-003-1004,1
122,Maryland,Anne Arundel,24,3,2024-07-22,35,Good,Ozone,24-003-1004,1
123,Maryland,Anne Arundel,24,3,2024-07-23,80,Moderate,Ozone,24-003-1004,1
124,Maryland,Anne Arundel,24,3,2024-07-24,49,Good,Ozone,24-003-1004,1
125,Maryland,Anne Arundel,24,3,2024-07-25,61,Moderate,Ozone,24-003-1004,1
126,Maryland,Anne Arundel,24,3,2024-07-26,46,Good,Ozone,24-003-1004,1
127,Maryland,Anne Arundel,24,3,2024-07-27,44,Good,Ozone,24-003-1004,1
128,Maryland,Anne Arundel,24,3,2024-07-28,90,Moderate,Ozone,24-003-1004,1
129,Maryland,Anne Arundel,24,3,2024-07-29,71,Moderate,Ozone,24-003-1004,1
