"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AA1","AA2","AA3","AB1","AD1","AE1","AH1","AH2","AH3","AH4","AH5","AH6","AI1","AI2","AI3","AI4","AI5","AI6","AJ1","AL1","AN1","AX1","AX2","KA1","KA2","KB1","KB2","KB3","KC1","KC2","KD1","KD2","KE1","KG1","KG2","MA1","MD1","MF1","MG1","MH1","MK1","OE1","OE2","RH1","RH2","RH3","REM","EQD"
"74594493784","2025-01-01T00:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V030","999,9,9,9999,9","99999,9,9,N","999999,9,N,A","+0111,5","+0083,5","10002,5","01,0005,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10003,5,09996,5",,,,,,,,,,,"MET09112/31/24 19:53:03 METAR KDMH 010053Z      KT 11/08 A2954 RMK AO1 SLP002 P0005 T01110083 RTX","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T01:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V030","999,9,9,9999,9","99999,9,9,N","999999,9,N,A","+0111,5","+0083,5","10014,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10014,5,10006,5",,,,,,,,,,,"MET08112/31/24 20:53:03 METAR KDMH 010153Z      KT 11/08 A2957 RMK AO1 SLP014 T01110083","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T02:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V030","999,9,9,9999,9","99999,9,9,N","999999,9,N,A","+0106,5","+0083,5","10002,5","01,0000,9,5","03,0013,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10003,5,09996,5","8,9,005,9,+999,9",,,,,,,,,,"MET10412/31/24 21:53:03 METAR KDMH 010253Z      KT 11/08 A2954 RMK AO1 PRESFR SLP002 60005 T01060083 58005 RTX","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T03:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V030","999,9,9,9999,9","99999,9,9,N","999999,9,N,A","+0100,5","+0078,5","10002,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10003,5,09996,5",,,,,,,,,,,"MET08112/31/24 22:53:03 METAR KDMH 010353Z      KT 10/08 A2954 RMK AO1 SLP002 T01000078","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T04:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V030","999,9,9,9999,9","99999,9,9,N","999999,9,N,A","+0100,5","+0078,5","09999,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10000,5,09993,5",,,,,,,,,,,"MET09112/31/24 23:53:03 METAR KDMH 010453Z      KT 10/08 A2953 RMK AO1 SLP999 T01000078 401500033","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T04:59:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","SOD  ","KDMH ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9","24,0074,9,A",,,,,,,,,,,,,,,,,,,,,,,"240,M,+0150,5","240,N,+0033,5",,,,,,,,,"024,W,+0067,D,4","024,D,+0028,D,4",,,"10075,4,10075,4","10076,4,09997,4",,,"1,24,99999,999,9999,A","2,24,99999,999,9999,A","024,X,086,D,4","024,N,042,D,4","024,M,065,D,4","SOD70024 HR PRECIPITATION (IN):0.29  24 HR MAX TEMP (F):59 24 HR MAX TEMP TIME (LST):1536 24 HR MIN TEMP (F):38 24 HR MIN TEMP TIME (LST):0558 AVERAGE STATION PRESSURE:29.755 MINIMUM SEA LEVEL PRESSURE:29.52 TIME OF OCCURRENCE:1946 PEAK WIND SPEED (MPH):M   PEAK WIND DIR (DEG):M   PEAK WIND TIME (LST):M     FASTEST 2MIN SPEED (MPH):M  FASTEST 2MIN DIR (DEG):M   FASTEST 2MIN TIME (LST):M    24 HR AVG TEMP (F):49 HEATING DEGREE DAYS:16  COOLING DEGREE DAYS:0   LATEST DAY MAX TEMP (0700-1900 LST):59  LATEST NIGHT MIN TEMP(1900-0800 LST):38 HOURLY INCREMENTAL PRECIPITATION VALUES (IN):.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.27 0.02 0.00 0.00 0.00 0.00","R01  0.297AAP092R02     N7GJS072R03     N7GKS075"
"74594493784","2025-01-01T04:59:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","SOM  ","KDMH ","V030","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+9999,9","+9999,9","99999,9",,,,"00734,9,5","00196,9,1011,9999,9999,U","13,5,08,5,02,5,00,5","005,0038,9,311853,5","010,0051,9,311856,5","015,0056,9,311856,5","020,0061,9,311856,5","030,0069,9,311856,5","045,0074,9,311907,5","060,0074,9,311907,5","080,0074,9,311907,5","100,0074,9,311907,5","120,0074,9,311907,A","150,0074,9,111705,5","180,0079,9,111726,5",,,,,,,,"744,N,+0150,5","744,M,+0867,5","744,A,+0511,5","N,9,-0072,239999,5","M,9,+0188,299999,5","744,H,0730,5","744,C,0000,5","01,U,00,U,14,U,00,U",,,,,,,"10220,U,10230,U","10484,141053,U,09966,111453,U",,,,,,"SOM796PCP MTOT:2.89 PCP GT 24HRS:0.77 DATE(S):10-11 DAYS W/PCP >=.01:13 DAYS W/PCP >=.10:8  DAYS W/ PCP >=.50:2 DAYS W/PCP >=1.00:0 MSDP AMTS W/DATE-TIME TAGS:MIN:5 0.15  31/1853 MIN:10 0.20  31/1856 MIN:15 0.22  31/1856 MIN:20 0.24  31/1856 MIN:30 0.27  31/1856 MIN:45 0.29  31/1907 MIN:60 0.29  31/1907 MIN:80 0.29  31/1907 MIN:100 0.29  31/1907 MIN:120 0.29  31/1907 MIN:150 0.29  11/1705 MIN:180 0.31  11/1726 AVG DLY MIN:34.7  AVG DLY MAX:47.6  AVG MLY TMP:41.2  MIN TMP:19 DATE(S):23 MAX TMP:66  DATE(S):29 DAYS MAX <=32:1 DAYS MAX >=90:0  DAYS MIN <=32:14 DAYS MIN  <=0:0  AVG STP:30.180 LWST SLP:29.40 DATE/TIME:111445 HGST SLP:30.97 DATE/TIME:141034 HDD MTH TOT:730 DEP NORM:-2553 SEASON(JUL 1-JUN 30):1142 DEP NORM:-25536 CDD MTH TOT:0 DEP NORM:-2553 SEASON(JAN 1-DEC 31):2230 DEP NORM:-25536","R01  0.777ADP081R02  0.297A10078"
"74594493784","2025-01-01T05:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V020","999,9,9,9999,9","99999,9,9,N","999999,7,N,5","+0094,5","+0067,5","10000,5","01,0000,9,5","06,0013,9,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10000,5,09993,5","5,9,002,9,+999,9",,,,,,,,,,"MET10901/01/25 00:53:02 METAR KDMH 010553Z      KT 09/07 A2953 RMK AO1 SLP000 60005 T00940067 10117 20089 55002 RTX","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T06:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V020","999,9,9,9999,9","99999,9,9,N","999999,7,N,5","+0083,5","+0067,5","10009,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10010,5,10003,5",,,,,,,,,,,"MET08101/01/25 01:53:02 METAR KDMH 010653Z      KT 08/07 A2956 RMK AO1 SLP009 T00830067","R01      7SKY009R02      7GAS009"
"74594493784","2025-01-01T07:53:00","6","39.2814","-76.6111","6.1","MARYLAND SCIENCE CENTER, MD US","FM-15","KDMH ","V020","999,9,9,9999,9","99999,9,9,N","999999,7,N,5","+0083,5","+0061,5","10010,5","01,0000,9,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10010,5,10003,5",,,,,,,,,,,"MET09001/01/25 02:53:02 METAR KDMH 010753Z      KT 08/06 A2956 RMK AO1 SLP010 T00830061 RTX FIBI","R01      7SKY009R02      7GAS009"
